"game_year","batter","pitch_type","pull","cent","oppo","launch_angle","launch_speed","stand","n"
2017,"Zack Granite","FF",0.333333333333333,0.212121212121212,0.454545454545455,14.0242424242424,84.6666666666667,"L",33
0,"Zack Granite","FF",0.333333333333333,0.212121212121212,0.454545454545455,14.0242424242424,84.6666666666667,"L",33
2015,"Zack Cozart","FF",0.522388059701492,0.194029850746269,0.283582089552239,18.044776119403,86.6731343283582,"R",67
2016,"Zack Cozart","CH",0.529411764705882,0.264705882352941,0.205882352941176,11.5,81.9029411764706,"R",34
2016,"Zack Cozart","CU",0.533333333333333,0.3,0.166666666666667,21.61,83.4066666666667,"R",30
2016,"Zack Cozart","FF",0.447368421052632,0.307017543859649,0.245614035087719,22.8061403508772,87.7201754385965,"R",114
2016,"Zack Cozart","FT",0.577777777777778,0.2,0.222222222222222,7.51777777777778,86.1688888888889,"R",45
2016,"Zack Cozart","SI",0.380952380952381,0.365079365079365,0.253968253968254,10.5,89.7825396825397,"R",63
2016,"Zack Cozart","SL",0.6,0.18,0.22,4.364,83.422,"R",50
2017,"Zack Cozart","CH",0.65,0.225,0.125,7.475,79.115,"R",40
2017,"Zack Cozart","FF",0.413793103448276,0.310344827586207,0.275862068965517,22.088275862069,89.1834482758621,"R",145
2017,"Zack Cozart","FT",0.574468085106383,0.276595744680851,0.148936170212766,6.97872340425532,85.5765957446808,"R",47
2017,"Zack Cozart","SL",0.575,0.2,0.225,14.9425,84.4475,"R",40
2018,"Zack Cozart","FF",0.402985074626866,0.253731343283582,0.343283582089552,21.5522388059701,87.8014925373134,"R",67
0,"Zack Cozart","CH",0.585585585585586,0.216216216216216,0.198198198198198,14.4225225225225,80.3441441441441,"R",111
0,"Zack Cozart","CU",0.597560975609756,0.25609756097561,0.146341463414634,16.6134146341463,81.5890243902439,"R",82
0,"Zack Cozart","FC",0.442857142857143,0.357142857142857,0.2,15.0971428571429,83.9114285714286,"R",70
0,"Zack Cozart","FF",0.43436754176611,0.286396181384248,0.279236276849642,21.6219570405728,88.0976133651551,"R",419
0,"Zack Cozart","FT",0.528169014084507,0.267605633802817,0.204225352112676,7.66971830985915,86.2316901408451,"R",142
0,"Zack Cozart","SI",0.485714285714286,0.314285714285714,0.2,6.61285714285714,89.0714285714286,"R",140
0,"Zack Cozart","SL",0.579710144927536,0.22463768115942,0.195652173913043,9.86884057971015,83.0572463768116,"R",138
2015,"Yunel Escobar","CH",0.722222222222222,0.222222222222222,0.0555555555555556,-1.06111111111111,87.1833333333333,"R",36
2015,"Yunel Escobar","FF",0.269736842105263,0.263157894736842,0.467105263157895,8.12828947368421,91.7092105263158,"R",152
2015,"Yunel Escobar","FT",0.346153846153846,0.256410256410256,0.397435897435897,-2.32435897435897,88.4038461538462,"R",78
2015,"Yunel Escobar","SI",0.352941176470588,0.264705882352941,0.382352941176471,-5.81764705882353,89.6970588235294,"R",34
2015,"Yunel Escobar","SL",0.426229508196721,0.262295081967213,0.311475409836066,9.39672131147541,87.9491803278688,"R",61
2016,"Yunel Escobar","CH",0.473684210526316,0.157894736842105,0.368421052631579,2.11842105263158,83.4842105263158,"R",38
2016,"Yunel Escobar","CU",0.53125,0.3125,0.15625,-3.78125,85.2125,"R",32
2016,"Yunel Escobar","FF",0.258741258741259,0.286713286713287,0.454545454545455,4.5979020979021,90.6202797202797,"R",143
2016,"Yunel Escobar","FT",0.178571428571429,0.375,0.446428571428571,-0.948214285714286,90.4410714285714,"R",56
2016,"Yunel Escobar","SI",0.423728813559322,0.220338983050847,0.355932203389831,-8.51016949152542,89.464406779661,"R",59
2016,"Yunel Escobar","SL",0.493150684931507,0.315068493150685,0.191780821917808,4.03287671232877,86.8643835616438,"R",73
2017,"Yunel Escobar","CH",0.470588235294118,0.323529411764706,0.205882352941176,5.45588235294118,91.9911764705882,"R",34
2017,"Yunel Escobar","FF",0.222222222222222,0.345679012345679,0.432098765432099,8.21604938271605,92.4481481481481,"R",81
2017,"Yunel Escobar","FT",0.35,0.4,0.25,-3.36833333333333,89.6333333333333,"R",60
2017,"Yunel Escobar","SL",0.41304347826087,0.304347826086957,0.282608695652174,4.63478260869565,84.8565217391304,"R",46
0,"Yunel Escobar","CH",0.555555555555556,0.231481481481481,0.212962962962963,2.10925925925926,87.3953703703704,"R",108
0,"Yunel Escobar","CU",0.55421686746988,0.27710843373494,0.168674698795181,0.659036144578313,85.3228915662651,"R",83
0,"Yunel Escobar","FC",0.409836065573771,0.442622950819672,0.147540983606557,0.924590163934426,87.2180327868852,"R",61
0,"Yunel Escobar","FF",0.25531914893617,0.289893617021277,0.454787234042553,6.80452127659574,91.4542553191489,"R",376
0,"Yunel Escobar","FT",0.298969072164948,0.335051546391753,0.365979381443299,-2.25,89.3721649484536,"R",194
0,"Yunel Escobar","SI",0.408333333333333,0.25,0.341666666666667,-7.60083333333333,89.3775,"R",120
0,"Yunel Escobar","SL",0.45,0.294444444444444,0.255555555555556,6.00444444444444,86.7188888888889,"R",180
2016,"Yulieski Gurriel","FF",0.341463414634146,0.341463414634146,0.317073170731707,18.7439024390244,89.7878048780488,"R",41
2017,"Yulieski Gurriel","CU",0.484848484848485,0.272727272727273,0.242424242424242,5.03333333333333,86.0484848484848,"R",33
2017,"Yulieski Gurriel","FC",0.533333333333333,0.2,0.266666666666667,11.1066666666667,87.1633333333333,"R",30
2017,"Yulieski Gurriel","FF",0.301369863013699,0.404109589041096,0.294520547945205,13.5678082191781,91.7034246575342,"R",146
