"bin_all","n","single_prob","double_prob","triple_prob","home_run_prob","out_prob"
"10.02",2,0,0,0,0,1
"10.03",4,0,0,0,0,1
"10.04",22,0,0.0909090909090909,0,0,0.909090909090909
"10.05",53,0,0.0377358490566038,0,0,0.962264150943396
"10.06",176,0.0113636363636364,0.0625,0,0,0.926136363636364
"10.07",334,0.116766467065868,0.494011976047904,0,0,0.389221556886228
"10.08",1213,0.207749381698269,0.575432811211871,0.00329760923330585,0,0.213520197856554
"10.09",1779,0.338392355255762,0.372119168071951,0.00281056773468241,0,0.286677908937605
"10.1",1955,0.388235294117647,0.183120204603581,0.00255754475703325,0,0.426086956521739
"10.11",1921,0.343571056741281,0.094742321707444,0.00260281103591879,0,0.559083810515357
"10.12",1566,0.157726692209451,0.0759897828863346,0.000638569604086846,0,0.765644955300128
"10.13",1287,0.0808080808080808,0.0916860916860917,0.000777000777000777,0.00621600621600622,0.82051282051282
"10.14",1153,0.0312228967909801,0.129228100607112,0.00693842150910668,0.0372940156114484,0.795316565481353
"10.15",886,0.0225733634311512,0.198645598194131,0.0112866817155756,0.123024830699774,0.644469525959368
"10.16",658,0.0212765957446809,0.237082066869301,0.013677811550152,0.507598784194529,0.220364741641337
"10.17",637,0.00627943485086342,0.0486656200941915,0.00156985871271586,0.927786499215071,0.0156985871271586
"10.18",316,0,0,0,1,0
"10.19",106,0,0,0,1,0
"10.2",20,0.05,0,0,0.95,0
"10.21",5,0,0.2,0,0.8,0
"11.02",16,0,0,0,0,1
"11.03",45,0,0,0,0,1
"11.04",172,0.00581395348837209,0,0,0,0.994186046511628
"11.05",345,0.00579710144927536,0.0115942028985507,0,0,0.982608695652174
"11.06",195,0.112820512820513,0.282051282051282,0.00512820512820513,0,0.6
"11.07",719,0.247566063977747,0.461752433936022,0.00417246175243394,0,0.286509040333797
"11.08",1349,0.42698295033358,0.257227575982209,0.000741289844329133,0,0.315048183839881
"11.09",2001,0.616691654172913,0.0859570214892554,0.000999500249875062,0,0.296351824087956
"11.1",3644,0.619648737650933,0.0718990120746432,0.00192096597145993,0,0.306531284302964
"11.11",3277,0.504119621605127,0.0137320720170888,0.00152578577967653,0,0.480622520598108
"11.12",2357,0.252863809927874,0.0169707254985151,0.00169707254985151,0,0.728468392023759
"11.13",1616,0.14789603960396,0.0309405940594059,0.000618811881188119,0,0.820544554455445
"11.14",1276,0.0689655172413793,0.11128526645768,0.00391849529780564,0.00705329153605016,0.808777429467085
"11.15",1236,0.0266990291262136,0.243527508090615,0.00728155339805825,0.0202265372168285,0.702265372168285
"11.16",897,0.0167224080267559,0.402452619843924,0.0222965440356745,0.16164994425864,0.396878483835006
"11.17",661,0.00302571860816944,0.223903177004539,0.0151285930408472,0.64750378214826,0.110438729198185
"11.18",469,0.00213219616204691,0.0426439232409382,0.0213219616204691,0.929637526652452,0.00426439232409382
"11.19",161,0,0.0124223602484472,0.0062111801242236,0.981366459627329,0
"11.2",44,0,0,0,1,0
"11.21",2,0,0,0,1,0
"12.02",50,0,0,0,0,1
"12.03",299,0.00334448160535117,0,0,0,0.996655518394649
"12.04",574,0.00696864111498258,0.00348432055749129,0,0,0.989547038327526
"12.05",222,0.0405405405405405,0.135135135135135,0,0,0.824324324324324
"12.06",421,0.197149643705463,0.275534441805226,0,0,0.527315914489311
"12.07",712,0.362359550561798,0.14747191011236,0.00140449438202247,0,0.48876404494382
"12.08",1216,0.609375,0.0567434210526316,0.00164473684210526,0,0.332236842105263
"12.09",2860,0.727972027972028,0.0174825174825175,0,0,0.254545454545455
"12.1",4465,0.724524076147816,0.00716685330347144,0,0,0.268309070548712
"12.11",4563,0.600920447074293,0.00547885163269779,0.000657462195923734,0,0.392943239097085
"12.12",2806,0.405915894511761,0.00855310049893086,0.000356379187455453,0,0.585174625801853
"12.13",1862,0.255102040816327,0.0392051557465091,0.00214822771213749,0,0.703544575725027
"12.14",1338,0.103886397608371,0.136023916292975,0.00672645739910314,0,0.753363228699552
"12.15",1226,0.0424143556280587,0.278955954323002,0.0154975530179445,0.0032626427406199,0.659869494290375
"12.16",1223,0.0106295993458708,0.466067048242028,0.0335241210139002,0.035977105478332,0.453802125919869
"12.17",835,0.0119760479041916,0.408383233532934,0.0467065868263473,0.27185628742515,0.261077844311377
"12.18",573,0.00174520069808028,0.134380453752181,0.0157068062827225,0.818499127399651,0.0296684118673647
"12.19",275,0.00363636363636364,0.0145454545454545,0,0.981818181818182,0
"12.2",54,0,0.037037037037037,0,0.962962962962963,0
"12.21",5,0,0,0,1,0
"13.02",345,0,0,0,0,1
"13.03",756,0.00264550264550265,0,0,0,0.997354497354497
"13.04",743,0.130551816958277,0.0161507402422611,0,0,0.853297442799462
"13.05",1543,0.147764095917045,0.0285158781594297,0,0,0.823720025923526
"13.06",586,0.266211604095563,0.0341296928327645,0,0.00170648464163823,0.697952218430034
"13.07",812,0.330049261083744,0.0172413793103448,0,0,0.652709359605911
"13.08",1270,0.517322834645669,0.0110236220472441,0,0,0.471653543307087
"13.09",2431,0.668860551213492,0.0119292472233649,0.000411353352529823,0.000411353352529823,0.318387494858083
"13.1",3241,0.719839555692687,0.00462820117247763,0.000617093489663684,0,0.274915149645171
"13.11",3264,0.642463235294118,0.00827205882352941,0.000306372549019608,0,0.348958333333333
"13.12",2546,0.510997643362137,0.025923016496465,0.000392772977219167,0,0.462686567164179
"13.13",1796,0.342427616926503,0.089086859688196,0.00501113585746102,0,0.56347438752784
"13.14",1419,0.165609584214235,0.172656800563777,0.0126849894291755,0,0.649048625792812
"13.15",1262,0.0443740095087163,0.285261489698891,0.0182250396196513,0,0.652139461172742
"13.16",1284,0.0155763239875389,0.394080996884735,0.0272585669781931,0.00778816199376947,0.555295950155763
"13.17",1078,0.00742115027829314,0.434137291280148,0.0695732838589982,0.0714285714285714,0.417439703153989
"13.18",666,0.0015015015015015,0.25975975975976,0.0540540540540541,0.573573573573574,0.111111111111111
"13.19",351,0.00284900284900285,0.0512820512820513,0.00284900284900285,0.934472934472934,0.00854700854700855
"13.2",105,0.00952380952380952,0,0,0.980952380952381,0.00952380952380952
"13.21",12,0,0,0,1,0
"14.02",587,0.00170357751277683,0,0,0,0.998296422487223
"14.03",371,0.132075471698113,0.00269541778975741,0,0,0.865229110512129
"14.04",9604,0.0645564348188255,0.00281132861307788,0.000104123281965848,0,0.932528113286131
