"batter","pitcher","singles","doubles","triples","home_runs","outs","xbabip","xbscon"
"Mike Trout","Max Scherzer",19.6498725129438,7.457205992358,0.767175257583049,6.16590353235416,65.959842704761,0.29705890302355,0.615294243998255
"Nelson Cruz","Max Scherzer",20.0696501327093,6.74288609204943,0.762153548457419,6.95828006348301,65.4670301633008,0.29636908896386,0.636750032161125
"Alex Bregman","Max Scherzer",19.7429816229111,6.06341784332313,0.551115670286352,3.94319454991008,69.6992903135694,0.274395083336554,0.492959425200567
"Josh Donaldson","Max Scherzer",20.1896899003118,5.87054654979395,0.629781868655149,4.31305435247028,68.9969273287688,0.278930612092852,0.510723460157463
"J.D. Martinez","Max Scherzer",20.7873072528214,5.26438030838518,0.509030066703938,3.85970836051434,69.5795740115751,0.276270408326927,0.48281991511761
"Joey Votto","Max Scherzer",19.8514365821365,6.9178244729099,0.911620176040628,5.45750973638711,66.8616090325259,0.292787731250831,0.582519850016266
"Freddie Freeman","Max Scherzer",19.2624020408574,7.15915178833453,0.900870977700817,5.66673082431855,67.0108443687887,0.289637209074234,0.589502418479032
"Christian Yelich","Max Scherzer",18.7761172444922,5.76318128963803,0.705504384119654,5.54219405163949,69.2130030301106,0.267260102696553,0.545877691826852
"Bryce Harper","Max Scherzer",18.9683710054989,6.69774773380999,0.90263698584013,6.85763713582328,66.5736071390277,0.285248891139818,0.625023259739323
"Jose Altuve","Max Scherzer",20.5626019206765,4.04610116431466,0.439095157987671,2.29196535399332,72.6602364030278,0.25635351620495,0.391399511392422
"Mike Trout","Jacob deGrom",21.0676844096802,7.40415758064016,0.870230525239553,6.30151854227168,64.3564089421684,0.313154194807282,0.636927653157659
"Nelson Cruz","Jacob deGrom",20.6672384443095,7.03655080392043,0.902347177737891,6.89053619081297,64.5033273832192,0.307231244340441,0.650095263486159
"Alex Bregman","Jacob deGrom",20.5871208538603,7.17142381468719,0.863464865834134,5.17667140179486,66.2013190638235,0.301845652936965,0.582270486879165
"Josh Donaldson","Jacob deGrom",20.8508564408842,6.79932932007105,0.804515806146663,6.52681589607156,65.0184825368265,0.304415665732158,0.629703260837525
"J.D. Martinez","Jacob deGrom",19.8451434676116,7.37466597999285,0.963684990152515,7.72497185178576,64.0915337104573,0.305429269471346,0.683854178051979
"Joey Votto","Jacob deGrom",20.8785346385649,7.12302187126817,0.884358764708492,5.49910507898148,65.6149796464769,0.305668166409257,0.597740749911527
"Freddie Freeman","Jacob deGrom",21.031986496992,7.48340348110454,0.891299053083999,6.5062094114683,64.0871015573512,0.314530931370619,0.646975282643262
"Christian Yelich","Jacob deGrom",20.5623685458224,5.76193469325405,0.669245470446336,5.49795829741589,67.5084929930613,0.285639846750365,0.56085807533333
"Bryce Harper","Jacob deGrom",21.7115198064525,6.56641203963297,0.775541330348022,6.85193544276002,64.0945913808065,0.311906353766266,0.645787096478026
"Jose Altuve","Jacob deGrom",20.7905349281867,5.82509759584018,0.727281452252231,3.67258432032004,68.9845017034009,0.283853914104819,0.493129117579039
"Mike Trout","Corey Kluber",20.9810233187531,8.35165752915236,1.02967928985368,6.63975614845642,62.9978837137844,0.325217232573211,0.673324008404445
"Nelson Cruz","Corey Kluber",20.9630475001234,7.12571693494211,0.894524682565893,5.71639300678321,65.3003178755853,0.307405391477191,0.607636274448382
"Alex Bregman","Corey Kluber",21.1493886703178,7.11018102773763,0.830306883489812,4.75742807197153,66.1526953464832,0.305429347325138,0.568903836641487
"Josh Donaldson","Corey Kluber",19.5174936167823,6.38718544198477,0.849109953827539,5.10462276881595,68.1415882185894,0.281929318299848,0.552576854374983
"J.D. Martinez","Corey Kluber",20.4934769873154,6.28487139703989,0.695208253835972,3.6830106871323,68.8434326746764,0.285241023771503,0.498808872914323
"Joey Votto","Corey Kluber",20.6830467172805,7.03081926627935,0.876438197451621,5.85541460045294,65.5542812185356,0.303685061224446,0.607956582440059
"Freddie Freeman","Corey Kluber",19.7246441407076,7.21748428414436,0.837339960983882,6.36148342953206,65.8590481846321,0.296667113099024,0.621175663100762
