"release_speed","pfx_x","pfx_z","release_spin_rate","pitch_launch_h_c","pitch_launch_v_c","release_pos_x","release_pos_y","release_pos_z","pitch_type","pitcher","p_throws","game_year","n"
78.7038095238095,0.426933333333333,-0.752672380952381,2576.45714285714,-1.20511391621369,0.795925783302618,-1.50419428571429,54.1388171428571,5.81181619047619,"CU","Zack Wheeler","R",2017,210
94.780625,-0.8439203125,1.3765640625,2326.2296875,-2.72491358251274,-2.36171011992729,-1.4038909375,53.45509671875,5.8402746875,"FF","Zack Wheeler","R",2017,640
94.3149206349206,-1.30219492063492,1.11727682539683,2252.00317460317,-2.68591272437143,-2.0891718818912,-1.43610222222222,53.4882323809524,5.77152031746032,"FT","Zack Wheeler","R",2017,315
87.9933544303798,0.00218892405063291,0.370213607594937,2429.87341772152,-2.2738322400758,-1.58745849048924,-1.59205126582278,53.8984360759494,5.74982879746835,"SL","Zack Wheeler","R",2017,316
79.2656666666667,0.668994,-0.920174666666667,2547.27333333333,-1.29884076887122,0.718171969561653,-1.658765,54.2738926666667,5.70874866666667,"CU","Zack Wheeler","R",2018,300
95.8522708505367,-0.791662014863749,1.33789240297275,2311.85383980182,-2.68789268610769,-2.1877089691856,-1.52489727497936,53.5900213872832,5.73564632535095,"FF","Zack Wheeler","R",2018,1211
89.3090909090909,-1.00230410557185,0.766128152492669,1600.75366568915,-2.48467243643797,-1.9755225582709,-1.63842346041056,53.8567099706745,5.6615137829912,"FS","Zack Wheeler","R",2018,341
96.0178489702517,-1.10807940503433,1.11134942791762,2234.14187643021,-2.53391695924118,-1.91266603917025,-1.54761212814645,53.5767384439359,5.67079176201373,"FT","Zack Wheeler","R",2018,437
90.8281588447653,0.140532671480144,0.559390072202166,2337.87906137184,-2.49764931254132,-1.75327830864155,-1.68228303249097,53.8518783393502,5.67086299638989,"SL","Zack Wheeler","R",2018,554
88.9504672897196,-1.03530996884735,0.843473208722741,1765.88161993769,-2.66046040988053,-2.21776831699394,-1.637,53.9593059190031,5.73718504672897,"CH","Zack Wheeler","R",2019,321
80.6728434504792,0.670245367412141,-0.958370607028754,2638.52396166134,-1.02971985325159,0.766043217667267,-1.62875143769968,54.4831827476038,5.76227220447284,"CU","Zack Wheeler","R",2019,313
96.7963791267306,-0.874334504792332,1.2938178913738,2338.71139510117,-2.77886386509657,-2.19998196656877,-1.50103280085197,53.6583142705005,5.76878658146965,"FF","Zack Wheeler","R",2019,939
96.5155872667398,-1.15731317233809,1.07174566410538,2255.65532381998,-2.58819963940248,-2.04832637124402,-1.55717211855104,53.6589237102086,5.70137211855104,"FT","Zack Wheeler","R",2019,911
91.1586538461538,0.176597435897436,0.52416858974359,2381.71794871795,-2.37725957288841,-1.58569461075675,-1.67205977564103,53.9621141025641,5.69352291666667,"SL","Zack Wheeler","R",2019,624
88.6498812351544,-1.06314608076009,0.886935391923991,1784.91686460808,-2.63910645677121,-2.18087452415217,-1.61552992874109,53.8888258907363,5.74762042755344,"CH","Zack Wheeler","R",0,421
79.6574726609963,0.607704738760632,-0.891960631834751,2589.42405832321,-1.17257407914215,0.756218143975578,-1.60790947752126,54.319022600243,5.75540364520049,"CU","Zack Wheeler","R",0,823
95.9241935483871,-0.83147376344086,1.33192964157706,2324.19068100358,-2.72700211649113,-2.23175380109151,-1.48910774193548,53.5820555197133,5.77080075268817,"FF","Zack Wheeler","R",0,2790
89.2611260053619,-1.00469678284182,0.73006890080429,1582.04289544236,-2.50498961662475,-1.94190325866052,-1.64254343163539,53.8795042895442,5.6628273458445,"FS","Zack Wheeler","R",0,373
95.9679494888755,-1.17181864101022,1.09077702946482,2249.31028262177,-2.59244383094471,-2.02041462785113,-1.53172730006013,53.6049954299459,5.7066235117258,"FT","Zack Wheeler","R",0,1663
90.3665997322624,0.126334404283802,0.504665863453815,2375.64725568942,-2.40002589055837,-1.64821051077258,-1.65892791164659,53.9077681392236,5.6970296519411,"SL","Zack Wheeler","R",0,1494
92.0207729468599,-0.596910628019324,1.28971449275362,2034.74396135266,-3.67161356860864,-1.58176015571178,-2.72041014492754,53.9401666666667,5.74255265700483,"FF","Zack Littell","R",2018,207
93.85,-0.653664015151515,1.28221590909091,2076.61363636364,-3.07889543378617,-2.00054433303986,-2.1328428030303,54.0951060606061,5.90615909090909,"FF","Zack Littell","R",2019,264
86.0679104477612,0.0661563432835821,0.42334328358209,2102.67910447761,-2.88505224716222,-1.53235807935707,-2.23485970149254,53.8701574626866,5.91591044776119,"SL","Zack Littell","R",2019,268
93.0460721868365,-0.62872144373673,1.28551146496815,2058.21231422505,-3.33938939112853,-1.81649268822688,-2.39107303609342,54.0270116772824,5.83425562632696,"FF","Zack Littell","R",0,471
86.1576470588235,0.108712352941176,0.443521764705882,2088.62058823529,-2.98994949014072,-1.48820290484765,-2.35479882352941,53.9038105882353,5.87728617647059,"SL","Zack Littell","R",0,340
88.6815384615385,-1.06777305128205,0.388894953902564,1721.88717948718,-1.86969848499298,-1.8630915709006,-1.68439367521368,54.1144926495726,6.15565367521368,"CH","Zack Greinke","R",2015,585
74.2498269896194,0.738491044982699,-0.966176505190311,2376.78546712803,0.130456107178946,1.35964694216543,-1.26627543252595,54.6959221453287,6.30409446366782,"CU","Zack Greinke","R",2015,289
92.4061472480343,-0.360891516533238,1.55949857112223,2342.71408148678,-1.652109567162,-2.52551294602679,-1.30873345246605,53.7611600428878,6.22903402430307,"FF","Zack Greinke","R",2015,1399
